Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	May
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		15.82
01:00		0.0		0.0		0.0		0.0		15.72
02:00		0.0		0.0		0.0		0.0		15.62
03:00		0.0		0.0		0.0		0.0		15.51
04:00		0.0		0.0		0.0		0.0		15.43
05:00		0.0		0.0		0.0		25.63		15.36
06:00		58.57		22.2		36.37		163.72		15.28
07:00		211.1		114.95		96.15		354.38		15.83
08:00		377.01		235.73		141.28		548.95		16.37
09:00		537.31		360.71		176.6		718.98		16.92
10:00		663.76		449.27		214.49		847.01		17.21
11:00		778.64		562.26		216.38		922.84		17.5
12:00		829.6		606.2		223.39		941.41		17.8
13:00		837.07		613.39		223.68		901.55		17.84
14:00		786.76		571.52		215.24		805.78		17.88
15:00		685.53		492.81		192.72		660.86		17.92
16:00		541.04		369.84		171.2		479.35		17.76
17:00		365.19		225.71		139.47		282.14		17.61
18:00		190.03		99.09		90.94		103.54		17.45
19:00		37.88		13.16		24.72		0.0		17.07
20:00		0.0		0.0		0.0		0.0		16.69
21:00		0.0		0.0		0.0		0.0		16.31
22:00		0.0		0.0		0.0		0.0		16.18
23:00		0.0		0.0		0.0		0.0		16.04

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
