Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	June
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		17.79
01:00		0.0		0.0		0.0		0.0		17.68
02:00		0.0		0.0		0.0		0.0		17.58
03:00		0.0		0.0		0.0		0.0		17.47
04:00		0.0		0.0		0.0		0.0		17.42
05:00		0.0		0.0		0.0		43.32		17.36
06:00		84.51		35.02		49.49		200.83		17.31
07:00		233.66		129.65		104.01		395.32		17.88
08:00		399.92		249.87		150.05		589.34		18.45
09:00		557.27		376.02		181.25		758.03		19.01
10:00		692.19		491.25		200.94		885.57		19.28
11:00		804.3		588.37		215.92		962.36		19.55
12:00		862.83		641.77		221.06		983.44		19.83
13:00		868.65		646.2		222.45		947.53		19.82
14:00		829.3		622.0		207.31		856.83		19.82
15:00		733.63		545.09		188.55		717.38		19.81
16:00		591.45		419.51		171.95		540.23		19.67
17:00		421.7		279.15		142.55		343.23		19.53
18:00		242.77		140.08		102.69		154.4		19.38
19:00		83.58		35.41		48.17		20.21		19.02
20:00		0.0		0.0		0.0		0.0		18.65
21:00		0.0		0.0		0.0		0.0		18.29
22:00		0.0		0.0		0.0		0.0		18.14
23:00		0.0		0.0		0.0		0.0		17.99

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
