Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	April
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		14.35
01:00		0.0		0.0		0.0		0.0		14.24
02:00		0.0		0.0		0.0		0.0		14.14
03:00		0.0		0.0		0.0		0.0		14.03
04:00		0.0		0.0		0.0		0.0		13.91
05:00		0.0		0.0		0.0		0.0		13.79
06:00		4.49		1.3		3.19		82.67		13.67
07:00		125.56		59.09		66.47		271.47		14.05
08:00		279.09		156.71		122.38		478.22		14.43
09:00		444.0		277.96		166.04		663.13		14.81
10:00		576.48		377.33		199.15		804.71		15.18
11:00		687.52		471.22		216.3		890.74		15.54
12:00		739.62		513.48		226.15		915.07		15.91
13:00		754.57		532.85		221.72		876.09		15.96
14:00		709.34		498.39		210.96		776.41		16.0
15:00		620.16		439.88		180.28		623.4		16.05
16:00		469.92		312.15		157.78		431.04		15.89
17:00		298.9		178.2		120.7		223.85		15.73
18:00		125.75		60.17		65.58		44.8		15.57
19:00		1.14		0.0		1.14		0.0		15.29
20:00		0.0		0.0		0.0		0.0		15.01
21:00		0.0		0.0		0.0		0.0		14.73
22:00		0.0		0.0		0.0		0.0		14.62
23:00		0.0		0.0		0.0		0.0		14.5

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
