Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	December
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		13.41
01:00		0.0		0.0		0.0		0.0		13.29
02:00		0.0		0.0		0.0		0.0		13.17
03:00		0.0		0.0		0.0		0.0		13.04
04:00		0.0		0.0		0.0		0.0		12.9
05:00		0.0		0.0		0.0		0.0		12.75
06:00		0.0		0.0		0.0		0.0		12.61
07:00		0.0		0.0		0.0		0.0		12.59
08:00		12.52		4.34		8.18		129.56		12.56
09:00		129.01		65.35		63.66		292.26		12.54
10:00		234.4		136.04		98.36		423.0		12.98
11:00		316.48		197.0		119.49		501.35		13.41
12:00		363.85		230.32		133.53		518.52		13.85
13:00		358.92		227.97		130.95		472.79		14.14
14:00		306.58		188.4		118.18		368.89		14.44
15:00		228.22		133.93		94.28		219.85		14.73
16:00		115.26		58.23		57.03		51.43		14.57
17:00		1.56		0.0		1.56		0.0		14.41
18:00		0.0		0.0		0.0		0.0		14.25
19:00		0.0		0.0		0.0		0.0		14.08
20:00		0.0		0.0		0.0		0.0		13.9
21:00		0.0		0.0		0.0		0.0		13.73
22:00		0.0		0.0		0.0		0.0		13.61
23:00		0.0		0.0		0.0		0.0		13.5

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
