Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	July
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		18.84
01:00		0.0		0.0		0.0		0.0		18.75
02:00		0.0		0.0		0.0		0.0		18.66
03:00		0.0		0.0		0.0		0.0		18.57
04:00		0.0		0.0		0.0		0.0		18.5
05:00		0.0		0.0		0.0		24.67		18.43
06:00		60.31		24.56		35.75		164.44		18.37
07:00		215.11		122.41		92.7		357.51		18.93
08:00		391.51		260.99		130.52		555.14		19.5
09:00		558.48		397.22		161.26		729.79		20.07
10:00		704.15		527.47		176.69		864.24		20.44
11:00		830.55		651.97		178.58		948.04		20.81
12:00		903.03		715.76		187.27		975.65		21.19
13:00		919.76		739.59		180.17		945.39		21.19
14:00		871.32		696.83		174.49		859.11		21.2
15:00		775.89		616.23		159.66		722.54		21.21
16:00		624.52		476.21		148.31		546.4		21.02
17:00		445.53		317.87		127.65		348.28		20.83
18:00		259.12		162.17		96.95		156.34		20.63
19:00		87.27		40.53		46.75		19.46		20.19
20:00		0.0		0.0		0.0		0.0		19.74
21:00		0.0		0.0		0.0		0.0		19.29
22:00		0.0		0.0		0.0		0.0		19.15
23:00		0.0		0.0		0.0		0.0		19.01

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
