Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	November
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		15.29
01:00		0.0		0.0		0.0		0.0		15.2
02:00		0.0		0.0		0.0		0.0		15.1
03:00		0.0		0.0		0.0		0.0		15.01
04:00		0.0		0.0		0.0		0.0		14.88
05:00		0.0		0.0		0.0		0.0		14.75
06:00		0.0		0.0		0.0		0.0		14.62
07:00		0.0		0.0		0.0		41.76		14.68
08:00		70.05		29.28		40.77		221.6		14.73
09:00		192.75		101.23		91.52		392.89		14.79
10:00		302.64		178.04		124.6		522.55		15.21
11:00		376.9		230.01		146.89		595.0		15.64
12:00		409.01		250.61		158.41		603.25		16.07
13:00		399.33		242.22		157.11		546.57		16.25
14:00		335.88		198.87		137.01		430.25		16.42
15:00		257.23		148.01		109.22		267.27		16.6
16:00		135.8		67.67		68.14		86.61		16.4
17:00		9.74		2.31		7.43		0.0		16.2
18:00		0.0		0.0		0.0		0.0		15.99
19:00		0.0		0.0		0.0		0.0		15.81
20:00		0.0		0.0		0.0		0.0		15.63
21:00		0.0		0.0		0.0		0.0		15.45
22:00		0.0		0.0		0.0		0.0		15.36
23:00		0.0		0.0		0.0		0.0		15.27

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
