Latitude (decimal degrees): 38.697
Longitude (decimal degrees): -9.420
Elevation (m): 17.0
month,year
1,2011
2,2014
3,2012
4,2013
5,2009
6,2013
7,2013
8,2009
9,2007
10,2016
11,2010
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,13.94,0.5,0.0,-0.0,0.0,337.68,7.32,290.0,101731.0
20110101:0100,13.85,0.5,0.0,-0.0,0.0,338.54,6.85,293.0,101738.0
20110101:0200,13.77,0.5,0.0,-0.0,0.0,339.4,6.38,295.0,101745.0
20110101:0300,13.68,0.5,0.0,-0.0,0.0,340.27,5.91,297.0,101771.0
20110101:0400,13.6,0.5,0.0,-0.0,0.0,341.13,5.43,299.0,101798.0
20110101:0500,13.51,0.5,0.0,-0.0,0.0,341.99,4.96,302.0,101825.0
20110101:0600,13.43,0.5,0.0,-0.0,0.0,342.85,4.49,301.0,101868.0
20110101:0700,13.34,0.5,0.0,-0.0,0.0,343.71,4.02,301.0,101911.0
20110101:0800,13.42,85.99,0.0,0.0,0.0,353.4,3.88,301.0,101954.0
20110101:0900,13.67,86.57,85.0,47.26,76.0,357.22,4.06,301.0,101988.0
20110101:1000,13.93,87.16,232.0,275.01,143.0,361.03,4.24,301.0,102021.0
20110101:1100,14.18,87.74,388.0,645.77,118.0,364.85,4.43,300.0,102054.0
20110101:1200,14.44,86.2,448.0,699.56,121.0,363.02,4.68,301.0,102001.0
20110101:1300,14.71,84.65,469.0,817.93,86.0,361.18,4.92,302.0,101948.0
20110101:1400,14.97,83.11,228.0,73.72,197.0,359.35,5.17,303.0,101894.0
20110101:1500,14.65,83.04,124.0,9.16,121.0,362.47,4.84,306.0,101921.0
20110101:1600,14.34,82.98,106.0,117.69,83.0,365.58,4.5,308.0,101948.0
20110101:1700,14.02,82.91,0.0,0.0,0.0,368.7,4.17,310.0,101974.0
20110101:1800,13.76,83.45,0.0,-0.0,0.0,368.22,4.01,313.0,101998.0
20110101:1900,13.5,84.0,0.0,-0.0,0.0,367.73,3.85,317.0,102021.0
20110101:2000,13.24,84.54,0.0,-0.0,0.0,367.25,3.7,320.0,102044.0
20110101:2100,13.13,84.99,0.0,-0.0,0.0,366.92,3.54,319.0,102034.0
20110101:2200,13.03,85.43,0.0,-0.0,0.0,366.58,3.37,319.0,102024.0
20110101:2300,12.92,85.88,0.0,-0.0,0.0,366.25,3.21,318.0,102014.0
20110102:0000,12.92,85.6,0.0,-0.0,0.0,358.12,3.11,320.0,101994.0
20110102:0100,12.93,85.31,0.0,-0.0,0.0,349.98,3.01,322.0,101974.0
20110102:0200,12.93,85.03,0.0,-0.0,0.0,341.85,2.91,324.0,101954.0
20110102:0300,12.76,85.87,0.0,-0.0,0.0,346.83,2.67,332.0,101954.0
20110102:0400,12.59,86.7,0.0,-0.0,0.0,351.82,2.42,339.0,101954.0
20110102:0500,12.42,87.54,0.0,-0.0,0.0,356.8,2.18,346.0,101954.0
20110102:0600,12.33,88.56,0.0,-0.0,0.0,356.92,2.26,354.0,101978.0
20110102:0700,12.24,89.57,0.0,-0.0,0.0,357.03,2.34,1.0,102001.0
20110102:0800,12.15,90.59,0.0,0.0,0.0,357.15,2.41,9.0,102024.0
20110102:0900,12.5,90.7,120.0,204.76,81.0,353.1,1.98,7.0,102044.0
20110102:1000,12.85,90.81,176.0,86.42,148.0,349.05,1.55,6.0,102064.0
20110102:1100,13.2,90.92,264.0,145.64,203.0,345.0,1.12,4.0,102084.0
20110102:1200,13.52,90.13,247.0,59.76,219.0,346.6,0.94,340.0,102017.0
20110102:1300,13.83,89.34,217.0,27.67,204.0,348.2,0.76,315.0,101951.0
20110102:1400,14.15,88.55,207.0,42.62,189.0,349.8,0.58,290.0,101884.0
20110102:1500,14.11,87.98,169.0,63.73,148.0,350.47,0.75,297.0,101901.0
20110102:1600,14.07,87.4,127.0,232.7,81.0,351.13,0.92,303.0,101918.0
20110102:1700,14.03,86.83,0.0,0.0,0.0,351.8,1.09,309.0,101934.0
20110102:1800,13.85,87.21,0.0,-0.0,0.0,351.37,1.1,329.0,101958.0
20110102:1900,13.68,87.6,0.0,-0.0,0.0,350.93,1.11,349.0,101981.0
20110102:2000,13.5,87.98,0.0,-0.0,0.0,350.5,1.12,9.0,102004.0
