Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Radiation database:	PVGIS-SARAH

Results for:	February
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)		T2m
00:00		0.0		0.0		0.0		0.0		12.32
01:00		0.0		0.0		0.0		0.0		12.2
02:00		0.0		0.0		0.0		0.0		12.09
03:00		0.0		0.0		0.0		0.0		11.98
04:00		0.0		0.0		0.0		0.0		11.84
05:00		0.0		0.0		0.0		0.0		11.69
06:00		0.0		0.0		0.0		0.0		11.55
07:00		0.0		0.0		0.0		23.77		11.6
08:00		55.36		21.63		33.73		176.82		11.65
09:00		194.19		102.57		91.62		356.66		11.69
10:00		318.67		188.62		130.05		508.58		12.2
11:00		419.23		256.63		162.6		610.02		12.71
12:00		475.0		299.74		175.26		650.18		13.21
13:00		496.33		323.51		172.82		625.4		13.42
14:00		463.72		297.49		166.23		537.89		13.62
15:00		389.35		244.81		144.53		396.54		13.83
16:00		267.29		155.7		111.59		220.28		13.68
17:00		122.21		59.37		62.84		46.77		13.52
18:00		1.5		0.0		1.5		0.0		13.37
19:00		0.0		0.0		0.0		0.0		13.12
20:00		0.0		0.0		0.0		0.0		12.86
21:00		0.0		0.0		0.0		0.0		12.61
22:00		0.0		0.0		0.0		0.0		12.51
23:00		0.0		0.0		0.0		0.0		12.42

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2020
