Latitude (decimal degrees):	38.697
Longitude (decimal degrees):	-9.420
Elevation (m):	17
Radiation database:	PVGIS-SARAH


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,14.93,6.34,0.0
20160101:0110,0.0,0.0,14.98,7.17,0.0
20160101:0210,0.0,0.0,15.03,7.99,0.0
20160101:0310,0.0,0.0,15.07,8.81,0.0
20160101:0410,0.0,0.0,15.15,9.05,0.0
20160101:0510,0.0,0.0,15.23,9.28,0.0
20160101:0610,0.0,0.0,15.31,9.52,0.0
20160101:0710,0.0,0.0,15.32,9.87,0.0
20160101:0810,0.0,0.0,15.33,10.23,0.0
20160101:0910,26.0,10.98,15.34,10.58,1.0
20160101:1010,12.0,18.88,15.8,10.98,1.0
20160101:1110,132.0,24.71,16.26,11.39,1.0
20160101:1210,0.0,0.0,16.72,11.79,0.0
20160101:1310,38.0,27.92,16.69,11.1,1.0
20160101:1410,2.0,24.87,16.67,10.41,1.0
20160101:1510,196.0,19.11,16.64,9.72,1.0
20160101:1610,150.01,11.27,16.0,9.05,1.0
20160101:1710,0.0,0.0,15.35,8.37,0.0
20160101:1810,0.0,0.0,14.71,7.7,0.0
20160101:1910,0.0,0.0,14.37,7.12,0.0
20160101:2010,0.0,0.0,14.03,6.54,0.0
20160101:2110,0.0,0.0,13.69,5.96,0.0
20160101:2210,0.0,0.0,13.52,5.76,0.0
20160101:2310,0.0,0.0,13.36,5.56,0.0
20160102:0010,0.0,0.0,13.19,5.37,0.0
20160102:0110,0.0,0.0,13.19,5.24,0.0
20160102:0210,0.0,0.0,13.19,5.11,0.0
20160102:0310,0.0,0.0,13.19,4.98,0.0
20160102:0410,0.0,0.0,13.02,4.73,0.0
20160102:0510,0.0,0.0,12.84,4.47,0.0
20160102:0610,0.0,0.0,12.66,4.22,0.0
20160102:0710,0.0,0.0,12.57,3.75,0.0
20160102:0810,0.0,0.0,12.49,3.28,0.0
20160102:0910,88.05,10.98,12.41,2.81,1.0
20160102:1010,130.0,18.9,12.73,2.66,1.0
20160102:1110,60.0,24.76,13.05,2.51,1.0
20160102:1210,570.01,27.94,13.37,2.36,1.0
20160102:1310,572.01,28.02,14.02,3.15,1.0
20160102:1410,246.01,24.98,14.66,3.94,1.0
20160102:1510,28.0,19.24,15.31,4.73,1.0
20160102:1610,2.0,11.4,15.19,4.74,1.0
20160102:1710,0.0,0.0,15.08,4.75,0.0
20160102:1810,0.0,0.0,14.96,4.76,0.0
20160102:1910,0.0,0.0,14.83,5.11,0.0
20160102:2010,0.0,0.0,14.69,5.47,0.0
20160102:2110,0.0,0.0,14.56,5.82,0.0
